proposal_id,config,performance_group,human_score,future_improvement,learning_outcomes,strengths_weaknesses,performance_summary,active_role,affirm_encourage,strengthen_relationship
p_high_058,C-SF,High,13.5,True,True,True,True,True,True,False
p_high_059,C-SF,High,11.5,True,True,True,True,True,True,True
p_high_060,C-SF,High,13.2,True,True,True,False,True,True,True
p_high_061,C-SF,High,11.4,True,True,True,True,True,True,True
p_high_063,C-SF,High,14.9,True,True,True,True,True,True,True
p_high_062,C-SF,High,11.8,True,True,True,True,True,True,True
p_high_064,C-SF,High,11.6,True,True,True,False,True,True,True
p_high_065,C-SF,High,13.0,True,True,True,True,True,True,False
p_high_066,C-SF,High,14.7,True,True,True,True,True,True,True
p_high_068,C-SF,High,12.7,True,True,True,True,True,True,True
p_high_067,C-SF,High,11.1,True,True,True,True,True,True,True
p_high_069,C-SF,High,12.4,True,True,True,True,True,True,True
p_high_070,C-SF,High,11.4,True,True,True,True,True,True,True
p_high_071,C-SF,High,10.7,True,True,True,True,True,True,True
p_high_072,C-SF,High,12.5,True,True,True,True,True,True,True
p_high_073,C-SF,High,10.7,True,True,True,True,True,True,True
p_high_074,C-SF,High,10.8,True,True,True,True,True,True,True
p_high_076,C-SF,High,13.4,True,True,True,True,True,True,True
p_high_075,C-SF,High,12.3,True,True,True,True,True,True,True
p_high_077,C-SF,High,13.8,True,True,True,False,True,True,True
p_high_078,C-SF,High,14.1,True,True,True,True,True,True,True
p_high_079,C-SF,High,12.7,True,True,True,True,True,True,True
p_high_080,C-SF,High,12.1,True,True,True,True,True,True,True
p_high_081,C-SF,High,14.8,True,True,True,False,True,True,True
p_high_082,C-SF,High,13.8,True,True,True,True,True,True,True
p_high_083,C-SF,High,10.8,True,True,True,True,True,True,True
p_high_084,C-SF,High,11.7,True,True,True,True,True,True,False
p_high_085,C-SF,High,10.5,True,True,True,True,True,True,True
p_high_086,C-SF,High,10.6,True,True,True,True,True,True,True
p_high_087,C-SF,High,11.8,True,True,True,False,True,True,True
p_high_088,C-SF,High,14.1,True,True,True,False,True,True,True
p_high_090,C-SF,High,13.1,True,True,True,True,True,True,True
p_high_089,C-SF,High,12.9,True,True,True,True,True,True,True
p_high_091,C-SF,High,10.9,True,True,True,True,True,True,True
p_high_092,C-SF,High,11.5,True,True,True,False,True,True,True
p_high_094,C-SF,High,13.7,True,True,True,True,True,True,True
p_high_093,C-SF,High,11.0,True,True,True,True,True,True,False
p_high_095,C-SF,High,11.0,True,True,True,True,True,True,True
p_high_096,C-SF,High,12.6,True,True,True,True,True,True,True
p_high_097,C-SF,High,11.6,True,True,True,True,True,True,True
p_high_098,C-SF,High,13.0,True,True,True,False,True,True,False
p_high_099,C-SF,High,11.5,True,True,True,True,True,True,True
p_high_100,C-SF,High,14.9,True,True,True,True,True,True,True
p_high_101,C-SF,High,13.5,True,True,True,True,True,True,True
p_high_102,C-SF,High,11.7,True,True,True,True,True,True,True
p_high_103,C-SF,High,11.4,True,True,True,True,True,True,True
p_high_104,C-SF,High,12.0,True,True,True,True,True,True,True
p_high_105,C-SF,High,14.6,True,True,True,False,True,True,True
p_high_106,C-SF,High,12.9,True,True,True,False,True,True,True
p_high_107,C-SF,High,14.5,True,True,True,True,True,True,True
p_low_001,C-SF,Low,8.7,True,True,True,False,True,True,True
p_low_003,C-SF,Low,9.5,True,True,True,True,True,True,True
p_low_002,C-SF,Low,10.3,True,True,True,False,True,True,True
p_low_004,C-SF,Low,8.0,True,True,True,False,True,True,True
p_low_005,C-SF,Low,9.1,True,True,True,False,True,True,True
p_low_006,C-SF,Low,9.7,True,True,True,False,True,True,True
p_low_007,C-SF,Low,9.6,True,True,True,False,True,True,True
p_low_008,C-SF,Low,7.0,True,False,True,False,True,True,True
p_low_009,C-SF,Low,9.8,True,True,True,False,True,True,True
p_low_011,C-SF,Low,10.0,True,True,True,True,True,True,True
p_low_010,C-SF,Low,8.5,True,False,True,True,True,True,True
p_low_012,C-SF,Low,9.8,True,False,True,False,True,True,False
p_low_013,C-SF,Low,9.6,True,True,True,False,True,True,True
p_low_014,C-SF,Low,8.2,True,False,True,False,True,True,True
p_low_016,C-SF,Low,8.7,True,True,True,False,True,True,True
p_low_015,C-SF,Low,8.2,True,True,True,True,True,True,True
p_low_017,C-SF,Low,9.8,True,True,True,False,True,True,True
p_low_018,C-SF,Low,9.8,True,True,True,False,True,True,True
p_low_019,C-SF,Low,10.2,True,True,True,False,True,True,False
p_low_020,C-SF,Low,5.1,True,True,True,False,True,True,True
p_low_021,C-SF,Low,7.9,True,True,True,False,True,True,True
p_low_023,C-SF,Low,10.3,True,True,True,False,True,True,True
p_low_022,C-SF,Low,9.2,True,True,True,True,True,True,False
p_low_024,C-SF,Low,6.3,True,True,True,False,True,True,True
p_low_025,C-SF,Low,10.2,True,True,True,True,True,True,True
p_low_026,C-SF,Low,7.8,True,True,True,True,True,True,False
p_low_027,C-SF,Low,9.7,True,True,True,True,True,True,True
p_low_028,C-SF,Low,9.8,True,True,True,True,True,True,False
p_low_029,C-SF,Low,8.1,True,True,True,True,True,True,True
p_low_030,C-SF,Low,7.5,True,True,True,False,True,True,True
p_low_032,C-SF,Low,5.7,True,True,True,False,True,True,False
p_low_033,C-SF,Low,8.4,True,True,True,True,True,True,True
p_low_031,C-SF,Low,10.3,True,False,True,False,True,True,True
p_low_034,C-SF,Low,10.1,True,True,True,False,True,True,True
p_low_035,C-SF,Low,10.2,True,True,True,True,True,True,True
p_low_036,C-SF,Low,9.5,True,True,True,False,True,True,True
p_low_037,C-SF,Low,9.9,True,True,True,True,True,True,True
p_low_038,C-SF,Low,8.7,True,True,True,False,True,True,True
p_low_039,C-SF,Low,8.0,True,True,True,True,True,True,False
p_low_040,C-SF,Low,10.0,True,True,True,False,True,True,True
p_low_041,C-SF,Low,7.6,True,True,True,False,True,True,True
p_low_042,C-SF,Low,10.3,True,True,True,False,True,True,True
p_low_043,C-SF,Low,9.6,True,False,True,False,True,True,True
p_low_044,C-SF,Low,9.3,True,True,True,True,True,True,False
p_low_045,C-SF,Low,8.6,True,True,True,False,True,True,True
p_low_046,C-SF,Low,7.6,True,True,True,False,True,True,True
p_low_047,C-SF,Low,9.0,True,True,True,False,True,True,True
p_low_048,C-SF,Low,9.5,True,False,True,True,True,True,True
p_low_049,C-SF,Low,9.1,True,True,True,True,True,True,True
p_low_050,C-SF,Low,9.9,True,True,True,False,True,True,True
p_low_051,C-SF,Low,9.2,True,True,True,True,True,True,True
p_low_052,C-SF,Low,9.4,True,True,True,True,True,True,True
p_low_055,C-SF,Low,10.3,True,True,True,False,True,True,False
p_low_054,C-SF,Low,8.8,True,True,True,False,True,True,True
p_low_053,C-SF,Low,9.3,True,True,True,False,True,True,True
p_low_056,C-SF,Low,5.9,True,False,True,True,True,True,True
p_low_057,C-SF,Low,10.1,True,True,True,False,True,True,True
p_low_059,C-SF,Low,10.0,True,True,True,False,True,True,True
p_low_058,C-SF,Low,7.9,True,True,True,True,True,True,True
p_low_060,C-SF,Low,9.4,True,True,True,True,True,True,False
p_low_063,C-SF,Low,9.2,True,True,True,True,True,True,True
p_low_061,C-SF,Low,10.2,True,True,True,False,True,True,True
p_low_062,C-SF,Low,8.3,True,True,True,True,True,True,True
p_low_064,C-SF,Low,9.1,True,True,True,False,True,True,True
p_low_065,C-SF,Low,8.4,True,True,True,False,True,True,True
p_low_067,C-SF,Low,4.4,True,True,True,True,True,True,True
p_low_066,C-SF,Low,9.5,True,True,True,False,True,True,True
p_low_068,C-SF,Low,9.6,True,True,True,False,True,True,False
p_low_069,C-SF,Low,8.5,True,False,True,False,True,True,True
p_low_072,C-SF,Low,9.3,True,True,True,False,True,True,True
p_low_070,C-SF,Low,10.1,True,True,True,True,True,True,True
p_low_071,C-SF,Low,8.3,True,False,True,False,True,True,True
p_low_073,C-SF,Low,9.6,True,True,True,False,True,True,True
p_low_074,C-SF,Low,9.5,True,True,True,True,True,True,True
p_low_075,C-SF,Low,9.9,True,True,True,False,True,True,True
p_low_076,C-SF,Low,8.1,True,True,True,True,True,True,True
p_low_077,C-SF,Low,10.0,True,True,True,False,True,True,True
p_low_079,C-SF,Low,6.7,True,False,True,False,True,True,True
p_low_078,C-SF,Low,9.8,True,True,True,False,True,True,True
p_low_080,C-SF,Low,5.3,True,True,True,False,True,True,True
p_low_081,C-SF,Low,10.1,True,True,True,True,True,True,True
p_low_082,C-SF,Low,9.4,True,True,True,False,True,True,True
p_low_083,C-SF,Low,4.2,True,True,True,False,True,True,False
p_low_084,C-SF,Low,7.9,True,True,True,False,True,True,True
p_low_085,C-SF,Low,10.0,True,True,True,True,True,True,False
p_low_086,C-SF,Low,9.1,True,True,True,False,True,True,True
p_low_088,C-SF,Low,9.4,True,True,True,True,True,True,True
p_low_087,C-SF,Low,7.6,True,True,True,False,True,True,True
p_low_090,C-SF,Low,9.3,True,True,True,True,True,True,False
p_low_089,C-SF,Low,9.2,True,True,True,False,True,True,True
p_low_092,C-SF,Low,7.7,True,True,True,False,True,True,True
p_low_091,C-SF,Low,9.0,True,True,True,False,True,True,True
p_low_094,C-SF,Low,8.6,True,True,True,True,True,True,True
p_low_095,C-SF,Low,7.7,True,True,True,True,True,True,True
p_low_097,C-SF,Low,8.8,True,True,True,True,True,True,False
p_low_093,C-SF,Low,7.1,True,True,True,False,True,True,True
p_low_098,C-SF,Low,9.4,True,True,True,True,True,True,True
p_low_099,C-SF,Low,9.7,True,True,True,False,True,True,True
p_low_096,C-SF,Low,10.2,True,False,True,False,True,True,True
p_low_100,C-SF,Low,8.2,True,True,True,True,True,True,True
p_low_101,C-SF,Low,9.3,True,True,True,False,True,True,False
p_low_102,C-SF,Low,4.8,True,True,True,False,True,True,False
p_low_104,C-SF,Low,9.0,True,True,True,False,True,True,True
p_low_103,C-SF,Low,9.9,True,True,True,False,True,True,True
p_low_107,C-SF,Low,10.1,True,True,True,False,True,True,False
p_low_106,C-SF,Low,9.7,True,False,True,True,True,True,True
p_low_105,C-SF,Low,9.1,True,True,True,False,True,True,False
p_high_007,C-FF,High,14.3,True,True,True,True,True,True,True
p_high_006,C-FF,High,13.2,True,True,True,True,True,True,True
p_high_004,C-FF,High,12.8,True,True,True,True,True,True,True
p_high_002,C-FF,High,14.3,True,True,True,True,True,True,True
p_high_003,C-FF,High,11.8,True,True,True,True,True,True,False
p_high_008,C-FF,High,12.5,True,True,True,True,True,True,True
p_high_005,C-FF,High,12.3,True,True,True,True,True,True,True
p_high_001,C-FF,High,11.6,True,True,True,False,True,True,True
p_high_009,C-FF,High,12.4,True,True,True,True,True,True,False
p_high_012,C-FF,High,14.3,True,True,True,True,True,True,True
p_high_011,C-FF,High,13.4,True,True,True,True,True,True,True
p_high_010,C-FF,High,14.7,True,True,True,True,True,True,True
p_high_015,C-FF,High,14.4,True,True,True,True,True,True,True
p_high_013,C-FF,High,14.6,True,True,True,True,True,True,True
p_high_016,C-FF,High,11.2,True,True,True,False,True,True,True
p_high_014,C-FF,High,13.1,True,True,True,True,True,True,True
p_high_017,C-FF,High,11.2,True,True,True,True,True,True,True
p_high_021,C-FF,High,14.2,True,True,True,True,True,True,True
p_high_020,C-FF,High,12.3,True,True,True,True,True,True,True
p_high_018,C-FF,High,13.5,True,True,True,False,True,True,True
p_high_022,C-FF,High,11.0,True,True,True,True,True,True,True
p_high_023,C-FF,High,10.5,True,True,True,False,True,True,True
p_high_019,C-FF,High,12.8,True,True,True,False,True,True,True
p_high_024,C-FF,High,10.7,True,True,True,True,True,True,True
p_high_025,C-FF,High,15.0,True,True,True,True,True,True,True
p_high_027,C-FF,High,10.6,True,True,True,True,True,True,False
p_high_026,C-FF,High,13.3,True,True,True,True,True,True,False
p_high_028,C-FF,High,14.9,True,True,True,True,True,True,True
p_high_029,C-FF,High,14.4,True,True,True,True,True,True,True
p_high_030,C-FF,High,10.9,True,True,True,True,True,True,True
p_high_031,C-FF,High,13.9,True,True,True,True,True,True,True
p_high_032,C-FF,High,12.1,True,True,True,False,True,True,True
p_high_034,C-FF,High,11.1,True,True,True,True,True,True,True
p_high_035,C-FF,High,13.6,True,True,True,False,True,True,True
p_high_033,C-FF,High,13.8,True,True,True,True,True,True,False
p_high_036,C-FF,High,14.5,True,True,True,True,True,True,False
p_high_037,C-FF,High,13.6,True,True,True,True,True,True,False
p_high_038,C-FF,High,13.7,True,True,True,True,True,True,False
p_high_039,C-FF,High,12.0,True,True,True,True,True,True,False
p_high_040,C-FF,High,11.3,True,True,True,False,True,True,True
p_high_042,C-FF,High,10.9,True,True,True,False,True,True,True
p_high_043,C-FF,High,12.7,True,True,True,False,True,True,True
p_high_041,C-FF,High,12.2,True,True,True,True,True,True,False
p_high_044,C-FF,High,10.8,True,True,True,True,True,True,True
p_high_047,C-FF,High,13.3,True,True,True,True,True,True,True
p_high_046,C-FF,High,11.1,True,True,True,True,True,True,False
p_high_045,C-FF,High,14.8,True,True,True,False,True,True,True
p_high_048,C-FF,High,13.0,True,True,True,True,True,True,True
p_high_049,C-FF,High,11.7,True,True,True,True,True,True,False
p_high_051,C-FF,High,11.2,True,True,True,True,True,True,True
p_high_050,C-FF,High,13.9,True,True,True,False,True,True,True
p_high_052,C-FF,High,11.2,True,True,True,True,True,True,False
p_high_054,C-FF,High,12.5,True,True,True,True,True,True,True
p_high_053,C-FF,High,14.0,True,True,True,True,True,True,True
p_high_056,C-FF,High,11.3,True,True,True,True,True,True,True
p_high_055,C-FF,High,14.0,True,True,True,True,True,True,True
p_high_057,C-FF,High,14.2,True,True,True,True,True,True,True
p_high_058,C-FF,High,13.5,True,True,True,True,True,True,True
p_high_059,C-FF,High,11.5,True,True,True,True,True,True,True
p_high_060,C-FF,High,13.2,True,True,True,True,True,True,True
p_high_061,C-FF,High,11.4,True,True,True,True,True,True,False
p_high_063,C-FF,High,14.9,True,True,True,False,True,True,True
p_high_062,C-FF,High,11.8,True,True,True,False,True,True,True
p_high_064,C-FF,High,11.6,True,True,True,False,True,True,True
p_high_065,C-FF,High,13.0,True,True,True,False,True,True,True
p_high_066,C-FF,High,14.7,True,True,True,False,True,True,False
p_high_068,C-FF,High,12.7,True,True,True,True,True,True,True
p_high_067,C-FF,High,11.1,True,True,True,True,True,True,True
p_high_069,C-FF,High,12.4,True,True,True,False,True,True,True
p_high_070,C-FF,High,11.4,True,True,True,True,True,True,True
p_high_071,C-FF,High,10.7,True,True,True,True,True,True,False
p_high_072,C-FF,High,12.5,True,True,True,True,True,True,True
p_high_073,C-FF,High,10.7,True,True,True,False,True,True,True
p_high_074,C-FF,High,10.8,True,True,True,True,True,True,True
p_high_076,C-FF,High,13.4,True,True,True,True,True,True,False
p_high_075,C-FF,High,12.3,True,True,True,False,True,True,False
p_high_077,C-FF,High,13.8,True,True,True,True,True,True,False
p_high_078,C-FF,High,14.1,True,True,True,True,True,True,True
p_high_079,C-FF,High,12.7,True,True,True,False,True,True,True
p_high_080,C-FF,High,12.1,True,True,True,True,True,True,True
p_high_081,C-FF,High,14.8,True,True,True,True,True,True,True
p_high_082,C-FF,High,13.8,True,True,True,True,True,True,True
p_high_083,C-FF,High,10.8,True,True,True,False,True,True,True
p_high_084,C-FF,High,11.7,True,True,True,True,True,True,True
p_high_085,C-FF,High,10.5,True,True,True,False,True,True,True
p_high_086,C-FF,High,10.6,True,False,True,True,True,True,True
p_high_087,C-FF,High,11.8,True,True,True,True,True,True,True
p_high_088,C-FF,High,14.1,True,True,True,False,True,True,True
p_high_090,C-FF,High,13.1,True,True,True,True,True,True,False
p_high_089,C-FF,High,12.9,True,True,True,True,True,True,True
p_high_091,C-FF,High,10.9,True,True,True,True,True,True,False
p_high_092,C-FF,High,11.5,True,True,True,False,True,True,True
p_high_094,C-FF,High,13.7,True,True,True,True,True,True,True
p_high_093,C-FF,High,11.0,True,True,True,True,True,True,True
p_high_095,C-FF,High,11.0,True,True,True,True,True,True,False
p_high_096,C-FF,High,12.6,True,True,True,True,True,True,True
p_high_097,C-FF,High,11.6,True,True,True,True,True,True,True
p_high_098,C-FF,High,13.0,True,True,True,True,True,True,True
p_high_099,C-FF,High,11.5,True,True,True,True,True,True,True
p_high_100,C-FF,High,14.9,True,True,True,True,True,True,True
p_high_101,C-FF,High,13.5,True,True,True,True,True,True,True
p_high_102,C-FF,High,11.7,True,True,True,True,True,True,True
p_high_103,C-FF,High,11.4,True,True,True,True,True,True,True
p_high_104,C-FF,High,12.0,True,True,True,False,True,True,True
p_high_105,C-FF,High,14.6,True,True,True,True,True,True,False
p_high_106,C-FF,High,12.9,True,True,True,True,True,True,True
p_high_107,C-FF,High,14.5,True,True,True,True,True,True,True
p_low_001,C-FF,Low,8.7,True,True,True,False,True,True,True
p_low_003,C-FF,Low,9.5,True,True,True,True,True,True,True
p_low_002,C-FF,Low,10.3,True,True,True,True,True,True,True
p_low_004,C-FF,Low,8.0,True,True,True,True,True,True,True
p_low_005,C-FF,Low,9.1,True,True,True,True,True,False,True
p_low_006,C-FF,Low,9.7,True,True,True,True,True,True,True
p_low_007,C-FF,Low,9.6,True,False,True,True,True,True,False
p_low_008,C-FF,Low,7.0,True,True,True,False,True,True,False
p_low_009,C-FF,Low,9.8,True,True,True,True,True,True,False
p_low_011,C-FF,Low,10.0,True,True,True,False,True,True,True
p_low_010,C-FF,Low,8.5,True,True,True,True,True,True,True
p_low_012,C-FF,Low,9.8,True,False,True,True,True,True,True
p_low_013,C-FF,Low,9.6,True,True,True,False,True,True,True
p_low_014,C-FF,Low,8.2,True,False,True,False,True,True,True
p_low_016,C-FF,Low,8.7,True,True,True,False,True,True,True
p_low_015,C-FF,Low,8.2,True,True,True,True,True,True,True
p_low_017,C-FF,Low,9.8,True,True,True,True,True,True,True
p_low_018,C-FF,Low,9.8,True,False,True,True,True,True,True
p_low_019,C-FF,Low,10.2,True,True,True,True,True,True,True
p_low_020,C-FF,Low,5.1,True,True,True,False,True,True,True
p_low_021,C-FF,Low,7.9,True,True,True,True,True,True,True
p_low_023,C-FF,Low,10.3,True,True,True,True,True,True,False
p_low_022,C-FF,Low,9.2,True,True,True,False,True,True,True
p_low_024,C-FF,Low,6.3,True,True,True,True,True,True,True
p_low_025,C-FF,Low,10.2,True,True,True,False,True,True,True
p_low_026,C-FF,Low,7.8,True,True,True,True,True,True,True
p_low_027,C-FF,Low,9.7,True,True,True,True,True,True,True
p_low_028,C-FF,Low,9.8,True,False,True,False,True,True,True
p_low_029,C-FF,Low,8.1,True,True,True,True,True,True,True
p_low_030,C-FF,Low,7.5,True,False,True,False,True,True,True
p_low_032,C-FF,Low,5.7,True,True,True,True,True,True,True
p_low_033,C-FF,Low,8.4,True,True,True,False,True,True,True
p_low_031,C-FF,Low,10.3,True,True,True,False,True,True,True
p_low_034,C-FF,Low,10.1,True,False,True,False,True,True,True
p_low_035,C-FF,Low,10.2,True,True,True,False,True,True,True
p_low_036,C-FF,Low,9.5,True,True,True,True,True,True,True
p_low_037,C-FF,Low,9.9,True,True,True,False,True,True,True
p_low_038,C-FF,Low,8.7,True,True,True,False,True,True,True
p_low_039,C-FF,Low,8.0,True,False,True,False,True,True,True
p_low_040,C-FF,Low,10.0,True,True,True,True,True,True,False
p_low_041,C-FF,Low,7.6,True,True,True,False,True,True,True
p_low_042,C-FF,Low,10.3,True,True,True,True,True,True,True
p_low_043,C-FF,Low,9.6,True,True,True,False,True,True,True
p_low_044,C-FF,Low,9.3,True,True,True,False,True,True,False
p_low_045,C-FF,Low,8.6,True,True,True,False,True,True,True
p_low_046,C-FF,Low,7.6,True,False,True,False,True,True,True
p_low_047,C-FF,Low,9.0,True,True,True,False,True,True,True
p_low_048,C-FF,Low,9.5,True,True,True,False,True,True,True
p_low_049,C-FF,Low,9.1,True,True,True,False,True,True,True
p_low_050,C-FF,Low,9.9,True,True,True,True,True,True,False
p_low_051,C-FF,Low,9.2,True,True,True,True,True,True,True
p_low_052,C-FF,Low,9.4,True,True,True,False,True,True,False
p_low_055,C-FF,Low,10.3,True,True,True,True,True,True,True
p_low_054,C-FF,Low,8.8,True,False,True,False,True,True,False
p_low_053,C-FF,Low,9.3,True,True,True,True,True,True,False
p_low_056,C-FF,Low,5.9,True,True,True,False,True,True,True
p_low_057,C-FF,Low,10.1,True,True,True,True,True,True,True
p_low_059,C-FF,Low,10.0,True,True,True,True,True,True,True
p_low_058,C-FF,Low,7.9,True,True,True,True,True,True,False
p_low_060,C-FF,Low,9.4,True,True,True,True,True,True,True
p_low_063,C-FF,Low,9.2,True,True,True,True,True,True,True
p_low_061,C-FF,Low,10.2,True,True,True,True,True,True,True
p_low_062,C-FF,Low,8.3,True,True,True,False,True,True,False
p_low_064,C-FF,Low,9.1,True,True,True,True,True,True,False
p_low_065,C-FF,Low,8.4,True,True,True,False,True,True,True
p_low_067,C-FF,Low,4.4,True,False,True,True,True,True,True
p_low_066,C-FF,Low,9.5,True,True,True,False,True,True,True
p_low_068,C-FF,Low,9.6,True,True,True,True,True,True,True
p_low_069,C-FF,Low,8.5,True,True,True,True,True,True,True
p_low_072,C-FF,Low,9.3,True,True,True,True,True,True,True
p_low_070,C-FF,Low,10.1,True,True,True,True,True,True,True
p_low_071,C-FF,Low,8.3,True,False,True,False,True,True,False
p_low_073,C-FF,Low,9.6,True,True,True,False,True,True,True
p_low_074,C-FF,Low,9.5,True,True,True,False,True,True,True
p_low_075,C-FF,Low,9.9,True,True,True,False,True,True,True
p_low_076,C-FF,Low,8.1,True,True,True,False,True,True,True
p_low_077,C-FF,Low,10.0,True,False,True,True,True,True,True
p_low_079,C-FF,Low,6.7,True,False,True,True,True,True,False
p_low_078,C-FF,Low,9.8,True,True,True,True,True,True,False
p_low_080,C-FF,Low,5.3,True,True,True,False,True,True,True
p_low_081,C-FF,Low,10.1,True,True,True,False,True,True,True
p_low_082,C-FF,Low,9.4,True,True,True,False,True,True,True
p_low_083,C-FF,Low,4.2,True,True,True,True,True,True,False
p_low_084,C-FF,Low,7.9,True,True,True,True,True,True,True
p_low_085,C-FF,Low,10.0,True,True,True,False,True,True,True
p_low_086,C-FF,Low,9.1,True,True,True,True,True,True,True
p_low_088,C-FF,Low,9.4,True,True,True,True,True,True,False
p_low_087,C-FF,Low,7.6,True,False,True,False,True,True,True
p_low_090,C-FF,Low,9.3,True,True,True,True,True,True,True
p_low_089,C-FF,Low,9.2,True,True,True,False,True,True,True
p_low_092,C-FF,Low,7.7,True,True,True,False,True,True,True
p_low_091,C-FF,Low,9.0,True,True,True,False,True,True,True
p_low_094,C-FF,Low,8.6,True,False,True,False,True,True,True
p_low_095,C-FF,Low,7.7,True,True,True,True,True,True,True
p_low_097,C-FF,Low,8.8,True,True,True,False,True,True,False
p_low_093,C-FF,Low,7.1,True,True,True,False,True,True,True
p_low_098,C-FF,Low,9.4,True,True,True,True,True,True,True
p_low_099,C-FF,Low,9.7,True,True,True,True,True,True,True
p_low_096,C-FF,Low,10.2,True,True,True,False,True,True,True
p_low_100,C-FF,Low,8.2,True,True,True,False,True,True,True
p_low_101,C-FF,Low,9.3,True,False,True,True,True,True,True
p_low_102,C-FF,Low,4.8,True,True,True,False,True,True,True
p_low_104,C-FF,Low,9.0,True,True,True,True,True,True,True
p_low_103,C-FF,Low,9.9,True,True,True,False,True,True,True
p_low_107,C-FF,Low,10.1,True,True,True,False,True,True,False
p_low_106,C-FF,Low,9.7,True,False,True,False,True,True,True
p_low_105,C-FF,Low,9.1,True,False,True,False,True,True,True
p_high_007,D-SF,High,14.3,True,True,True,True,True,True,True
p_high_006,D-SF,High,13.2,True,True,True,True,True,True,True
p_high_004,D-SF,High,12.8,True,True,True,True,True,True,True
p_high_002,D-SF,High,14.3,True,True,True,True,True,True,True
p_high_003,D-SF,High,11.8,True,True,True,True,True,True,True
p_high_008,D-SF,High,12.5,True,True,True,True,True,True,True
p_high_005,D-SF,High,12.3,True,True,True,True,True,True,True
p_high_001,D-SF,High,11.6,True,True,True,True,True,True,True
p_high_009,D-SF,High,12.4,True,True,True,True,True,True,True
p_high_012,D-SF,High,14.3,True,True,True,True,True,True,True
p_high_011,D-SF,High,13.4,True,True,True,True,True,True,True
p_high_010,D-SF,High,14.7,True,True,True,True,True,True,True
